time,exp1_s1,exp1_s2,exp1_s3,exp2_s1,exp2_s2,exp2_s3
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,1
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,1,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,0,2,1,2,0,0
0.100502512562814,2,0,1,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,1
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,1,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,2,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,1
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,0,2,2
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.100502512562814,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,1,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,1
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,1,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,0,2,2
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,1,2,0,2
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,1,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,1,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,1,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,1
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,1,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,1
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,1,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,1,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,1,0,2,1
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,1,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,1,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,1
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,1,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
0.201005025125628,2,0,0,2,0,0
